material_id,composition,bg,elements
mp-557728,KCu4AsS4,1.9,"['As', 'Cu', 'K', 'S']"
mp-1194610,K4Mg(WO4)3,4.405,"['K', 'Mg', 'O', 'W']"
mp-1195350,CsCdInTe3,1.81,"['Cd', 'Cs', 'In', 'Te']"
mp-15148,K4Nb2S11,1.96,"['K', 'Nb', 'S']"
mp-761057,Sr5Nb4O15,4.0,"['Nb', 'O', 'Sr']"
mp-19421,FeWO4,2.495,"['Fe', 'O', 'W']"
mp-559864,InSb2S4Br,1.8,"['Br', 'In', 'S', 'Sb']"
mp-28800,K2Bi8Se13,0.53,"['Bi', 'K', 'Se']"
mp-685194,Li4Ti5O12,2.0,"['Li', 'O', 'Ti']"
mp-27484,Tl2O,1.0,"['O', 'Tl']"
mp-1214937,Ba2LaV3O11,3.35,"['Ba', 'La', 'O', 'V']"
mp-1747,K2Te,1.9,"['K', 'Te']"
mp-5967,TiCoSb,1.0,"['Co', 'Sb', 'Ti']"
mp-1192376,Ba3AlAs3,0.57,"['Al', 'As', 'Ba']"
mp-1190528,Ba2ZnSe3,2.6,"['Ba', 'Se', 'Zn']"
mp-3342,ZnPS3,2.6,"['P', 'S', 'Zn']"
mp-6325,Ba3MgTa2O9,4.28,"['Ba', 'Mg', 'O', 'Ta']"
mp-29234,InTeI,2.735,"['I', 'In', 'Te']"
mp-772617,Zn(NO3)2,3.75,"['N', 'O', 'Zn']"
mp-27850,TiNCl,2.5,"['Cl', 'N', 'Ti']"
mp-1120792,K3Bi2I9,2.1,"['Bi', 'I', 'K']"
mp-546011,YZnAsO,1.1731,"['As', 'O', 'Y', 'Zn']"
mp-20790,InPS4,3.12,"['In', 'P', 'S']"
mp-4875,GdTaO4,0.8,"['Gd', 'O', 'Ta']"
mp-375,UO3,4.0,"['O', 'U']"
mp-1192526,CsBaPS4,3.4,"['Ba', 'Cs', 'P', 'S']"
mp-2931287,FePS3,3.14,"['Fe', 'P', 'S']"
mp-1066781,BrCl,2.94,"['Br', 'Cl']"
mp-28911,BaReH9,3.44,"['Ba', 'H', 'Re']"
mp-3193,Na2Si2O5,4.22,"['Na', 'O', 'Si']"
mp-31077,Tl2TeI6,1.5,"['I', 'Te', 'Tl']"
mp-555597,V4O7,0.8,"['O', 'V']"
mp-13944,Li3AlN2,4.4,"['Al', 'Li', 'N']"
mp-22841,Ba2In2S5,2.47,"['Ba', 'In', 'S']"
mp-541462,SrTa4O11,4.0,"['O', 'Sr', 'Ta']"
mp-4651,SrTiO3,3.2,"['O', 'Sr', 'Ti']"
mp-1211317,LaBWO6,4.1,"['B', 'La', 'O', 'W']"
mp-5625,Ag2SO4,3.8,"['Ag', 'O', 'S']"
mp-1094040,Zn2In2O5,2.9,"['In', 'O', 'Zn']"
mp-29179,SnCl2,2.9,"['Cl', 'Sn']"
mp-1199743,CsInTe2,2.16,"['Cs', 'In', 'Te']"
