formula,mpids,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,DOI,compound_type
Ag2CO3,mp-560717,False,False,0.7489999999999991,-1.06313207875,2.3,10.1016/j.cej.2019.123192,Double anions
Ag2Mo2O7,mp-27966,True,False,1.9011,-1.507470650757574,2.685,10.1039/c5ta02337h,Double anions
Ag2MoO4,mp-19318,False,False,1.873099999999999,-1.251052689761907,3.26,10.1016/j.physb.2019.02.036,Double anions
Ag2S,mp-556225,False,True,1.0853,-0.118032977604165,1.09,10.1016/j.jece.2017.11.071,Double anions
Ag2S2O7,mp-1192057,True,False,2.301599999999999,-1.405367447121212,2.24,10.1039/c3nr06565k,Double anions
Ag2SO4,mp-5625,True,False,1.2289,-1.25647538940476,3.8,10.1007/s11051-016-3726-1,Double anions
Ag2Se,mp-568971,False,True,0.9678,-0.124259673854164,0.15,10.1039/c9ee01609k,Double anions
Ag2WO4,mp-504466,False,True,2.0439,-1.348469886904761,2.925,10.1016/j.cej.2019.05.060,Double anions
Ag3AsS3,mp-561620,True,False,1.627799999999999,-0.159635012633925,2.0835,10.1016/S0925-8388(99)00422-3,Chalcogenides
Ag3BiO3,mp-505145,False,False,1.546999999999999,-0.7834499885714281,2.04,10.1134/S003602441908034X,Oxides
Ag3SbS3,mp-555269,True,False,1.5142,-0.206377109062497,2.1125,10.1016/S0925-8388(00)00795-7,Chalcogenides
Ag8GeS6,mp-9770,True,False,0.6102000000000001,-0.326871861055552,1.45,10.1039/c6ta00398b,Chalcogenides
Ag8SnS6,mp-15645,True,False,0.535099999999999,-0.204578667791666,1.315,10.1016/j.jece.2018.02.046,Chalcogenides
AgBi3S5,mp-23474,True,False,0.5262,-0.371667913784724,0.435,10.1007/s12598-020-01373-w,Chalcogenides
AgBiI4,mp-35909,False,True,1.0457,-0.6252693061111111,1.77,10.1039/c8na00416a,Halides
AgBiS2,mp-29678,False,False,0.5212,-0.289343481822921,0.98,10.1016/j.physb.2019.04.006,Double anions
AgBiSCl2,mp-556094,True,False,1.0752,-0.945403372833334,1.0,10.1039/b408306g,Double anions
AgBr,mp-23231,True,False,0.730399999999999,-0.6596210383333321,2.6,10.1016/j.cej.2013.03.091,Halides
AgCl,mp-22922,True,False,0.9522,-0.568439933749999,3.25,10.1016/j.cej.2013.10.085,Halides
AgI,mp-580941,True,False,1.3759,-0.467759898333332,2.775,10.1016/j.cej.2015.05.024,Halides
AgIO3,mp-27384,True,False,2.4375,-0.713068665333332,3.26,10.1039/c4nr02450h,Halides
AgN3,mp-2247,False,False,1.5714,0.624941838333334,3.67,10.1021/jacs.5b03986,Nitrides
AgNO3,mp-552185,True,False,1.853899999999999,-0.6806635453333341,1.8599999999999999,10.1039/c8en00570b,Oxides
AgP15,mp-1195243,False,False,1.2132,0.002923476897322,1.38,10.1021/acs.inorgchem.5b02074,Phosphides
AgPd(IO3)3,mp-1193499,False,False,1.4039,-0.736862955833334,1.5,10.1021/ic101627v,Halides
AgSbS2,mp-3922,True,False,1.3716,-0.249630471406248,1.45,10.1007/s12648-019-01607-3,Double anions
Al2O3,mp-7048,False,False,4.4553,-3.409391490000001,7.0,10.1016/j.cej.2019.04.079,Double anions
Al2Se3,mp-11674,True,False,1.8004,-1.0088235364375011,3.1,10.1039/c7tc05311h,Double anions
Al2Te3,mp-29502,True,False,1.854,-0.559024813749999,2.5,10.1021/jacs.5b03986,Double anions
Al4SiC4,mp-1214816,False,True,1.200899999999999,-0.069040207222222,1.05,10.1039/c6ra05749g,Chalcogenides
Al5BO9,mp-3281,True,False,4.9385,-3.366610787277777,6.4,10.1021/jacs.6b06680,Oxides
AlAs,mp-2172,True,False,1.503699999999999,-0.627042776249999,2.2,10.1016/j.matpr.2017.11.028,Arsenides
AlFeO3,mp-1178577,False,True,2.1792,-2.534268328,2.44,10.1016/j.jallcom.2018.03.388,Halides
AlN,mp-661,True,False,4.0467,-1.6796721718749992,6.015,10.1016/j.cej.2011.09.047,Nitrides
AlP,mp-1550,True,False,1.6294,-0.737248783988095,2.48,10.1016/j.matpr.2020.05.260,Phosphides
AlSb,mp-2624,True,False,1.2255,-0.252975485,1.62,10.1016/j.matpr.2019.05.139,Chalcogenides
As2O3,mp-1582,True,False,4.0339,-1.626348611000001,4.5,10.1021/jacs.5b03986,Double anions
As2S3,mp-1189572,True,False,1.9873,-0.155932882187498,2.3,10.1016/B978-0-12-814303-2.00005-2,Double anions
As2Se3,mp-909,True,False,1.4466,-0.139482853937499,1.76,10.1016/j.physb.2011.05.012,Double anions
AsBr3,mp-23317,True,False,3.1271,-0.860313386875,2.6,10.1021/jacs.5b03986,Halides
AsI3,mp-23218,True,False,2.2375,-0.478643139374998,2.415,10.1021/jacs.5b03986,Halides
AsSe,mp-542570,True,False,1.367999999999999,-0.119492343906248,1.2149999999999999,10.1021/jacs.5b03986,Chalcogenides
Au2S,mp-947,True,False,1.9091,-0.118021207604167,1.8,10.1039/b823539b,Double anions
B2O3,mp-1245025,False,True,4.1254,-2.7348864954666663,7.5,10.1016/j.optmat.2008.10.024,Double anions
B2S3,mp-1199451,True,False,2.5061,-0.7342185787266671,3.75,10.1039/c5tc01079a,Double anions
B4C,mp-1238815,True,True,3.0415,-0.1003448895,1.795,10.1038/s41598-019-38556-0,Carbides
B6O,mp-1346,True,False,1.856399999999999,-0.8052726050000011,2.0,10.1039/c9cs00313d,Oxides
B6P,mp-28395,True,False,2.4757,-0.326223649710885,3.3,10.1103/PhysRevB.60.2333,Phosphides
BAs,mp-10044,False,False,1.203699999999999,-0.041637114791665,1.39,10.1016/j.physb.2005.04.022,Arsenides
BAsO4,mp-3277,True,False,4.2615,-2.130445326111111,7.8,10.1039/c6ra26568e,Oxides
BC2N,mp-629458,False,True,1.661900000000001,-0.192360277291665,1.7000000000000002,10.1016/j.tsf.2010.01.014,Double anions
BN,mp-604884,True,True,4.3683,-1.412978993125001,8.0,10.1021/jacs.5b03986,Nitrides
BSb,mp-997618,False,True,0.7506,0.273972750416668,0.3185,10.1039/c8tc04641g,Chalcogenides
Ba12In4S19,mp-1229044,False,True,1.978,-1.877253377261904,2.56,10.1021/cm2019857,Double anions
Ba2BiSbO6,mp-23127,True,False,1.6958000000000002,-2.453007172999998,3.0,10.1039/c9tc06919d,Double anions
Ba2Ca(BO3)2,mp-549737,True,False,4.080500000000001,-3.224687858030303,6.0649999999999995,10.1039/c7cp02740k,Double anions
Ba2ErTaO6,mp-1205803,True,True,3.393399999999999,-3.600573126733332,2.5,10.1039/c9ra01797f,Double anions
Ba2FeBiS5,mp-1202506,False,False,0.625,-1.443725266944444,1.22,10.1021/ja1111095,Double anions
Ba2FeSbS5,mp-1199946,False,False,0.5309,-1.43033947361111,0.93,10.1021/ja1111095,Double anions
Ba2FeWO6,mp-1272506,False,True,2.506199999999999,-2.639823302,0.06,10.1016/j.physb.2015.11.019,Double anions
Ba2GaBiSe5,mp-1203584,True,False,1.7506,-1.493450638246527,2.14,10.1016/j.jssc.2012.08.039,Double anions
Ba2GaBiTe5,mp-1202829,False,False,1.065199999999999,-1.188787954537037,1.43,10.1016/j.jssc.2012.08.039,Double anions
