mpids,formula,bg_mp,bg_exp,num_elements,source
mp-1195243,AgP15,1.2132,1.38,2,BandgapDatabase1
mp-23317,AsBr3,3.1271,2.6,2,BandgapDatabase1
mp-1238815,B4C,3.0415,1.795,2,BandgapDatabase1
mp-10044,BAs,1.203699999999999,1.39,2,BandgapDatabase1
mp-28911,BaReH9,3.8349,3.44,3,BandgapDatabase1
mp-18337,Be3N2,3.3145,3.8,2,BandgapDatabase1
mp-680422,CBr4,2.9265,3.7,2,BandgapDatabase1
mp-27962,CI4,1.1181,2.26,2,BandgapDatabase1
mp-1095180,Ca2CdAs2,0.8529999999999991,0.95,3,BandgapDatabase1
mp-844,Ca3N2,1.3497,1.55,2,BandgapDatabase1
mp-29746,Cd4P2Cl3,1.3826,2.21,3,BandgapDatabase1
mp-29044,Cd4Sb2I3,1.130599999999999,1.81,3,BandgapDatabase1
mp-568722,CdBr2,2.8551,4.47,2,BandgapDatabase1
mp-570437,CdI2,2.3382,3.2,2,BandgapDatabase1
mp-669458,Cs3Bi2I9,2.3796,2.0,3,BandgapDatabase1
mp-27954,CuN3,1.6279,4.565,2,BandgapDatabase1
mp-2490,GaP,1.603899999999999,2.26,2,BandgapDatabase1
mp-27922,GeI2,2.0217,1.5,2,BandgapDatabase1
mp-23292,HgBr2,2.5527,3.59,2,BandgapDatabase1
mp-1224070,HgBrCl,2.593499999999999,3.4,3,BandgapDatabase1
mp-22855,HgCl2,2.8686,4.45,2,BandgapDatabase1
mp-1120792,K3Bi2I9,2.5425,2.1,3,BandgapDatabase1
mp-542435,Li3ScN2,2.401399999999999,2.9,3,BandgapDatabase1
mp-1192528,LiCa3As2H,1.441699999999999,1.4,4,BandgapDatabase1
mp-12558,LiMgAs,1.372299999999999,1.25,3,BandgapDatabase1
mp-37906,LiMgN,2.4462,3.45,3,BandgapDatabase1
mp-1559,Mg3N2,1.952799999999999,2.03,2,BandgapDatabase1
mp-2514,Mg3P2,1.798099999999999,1.935,2,BandgapDatabase1
mp-1196139,Mg3Sb2,1.3212000000000002,0.6499999999999999,2,BandgapDatabase1
mp-3677,MgSiN2,3.9662,4.3,3,BandgapDatabase1
mp-5955,NaSbF6,4.8892,3.76,3,BandgapDatabase1
mp-667338,PbN6,2.5064,3.0,2,BandgapDatabase1
mp-9028,PrBN2,2.1062,4.0,3,BandgapDatabase1
mp-1195363,Rb3Bi2Br9,2.818,2.62,3,BandgapDatabase1
mp-1194576,Rb3Sb2Br9,2.149,2.48,3,BandgapDatabase1
mp-1209693,Rb3Sb2I9,1.9237,2.1,3,BandgapDatabase1
mp-1009750,ScN,2.4152,0.92,2,BandgapDatabase1
mp-978553,SiAs2,0.8890999999999991,1.905,2,BandgapDatabase1
mp-569128,SiB3,1.408,1.1,2,BandgapDatabase1
mp-1219182,SiGe,0.6059999999999991,0.51,2,BandgapDatabase1
mp-2798,SiP,1.7395,1.02,2,BandgapDatabase1
mp-29179,SnCl2,3.1002,2.9,2,BandgapDatabase1
mp-27194,SnI2,1.7061000000000002,2.4,2,BandgapDatabase1
mp-23182,SnI4,2.0581,2.38,2,BandgapDatabase1
mp-5967,TiCoSb,1.043199999999999,1.0,3,BandgapDatabase1
mp-870,TlN3,1.7584,3.58,2,BandgapDatabase1
mp-6913,YN,0.700499999999999,1.9,2,BandgapDatabase1
mp-27161,ZnI2,2.9118,3.28,2,BandgapDatabase1
