,n,l,train,test,ntrain,ntest,comment
1,0,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-4', 'I-42m', 'I23', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imm2', 'Imma', 'P-1', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-43m', 'P-43n', 'P-4n2', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_2', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4bm', 'P4cc', 'P4mm', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbca', 'Pbcm', 'Pc', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('Cccm'), np.str_('I-42d'), np.str_('I-43m'), np.str_('I2_13'), np.str_('I4/m'), np.str_('Immm'), np.str_('P-31c'), np.str_('P-42m'), np.str_('P-6'), np.str_('P2_1/c'), np.str_('P3_121'), np.str_('P3_221'), np.str_('P4_2/m'), np.str_('Pbcn')]",1442,263,split successful
2,1,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cccm', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'F-43m', 'Fd-3m', 'Fddd', 'Fmm2', 'Fmmm', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imm2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1m', 'P-42m', 'P-43m', 'P-4n2', 'P-6', 'P-62m', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2nm', 'P4_332', 'P4bm', 'P4cc', 'P4mm', 'P6_1', 'P6_122', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbca', 'Pbcm', 'Pbcn', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('Cc'), np.str_('Fdd2'), np.str_('Fm-3m'), np.str_('I4_1/amd'), np.str_('P-42_1c'), np.str_('P-43n'), np.str_('P-6c2'), np.str_('P4/mbm'), np.str_('P4_12_12'), np.str_('P4_2/nmc'), np.str_('P4_32_12'), np.str_('P6/mmm'), np.str_('P6_3'), np.str_('Pc')]",1537,168,split successful
3,2,-1,"['Aea2', 'Ama2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cccm', 'Cm', 'Cmce', 'Cmcm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imm2', 'Imma', 'Immm', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43n', 'P-4n2', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4bm', 'P4mm', 'P6/mmm', 'P6_1', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_3cm', 'P6_3mc', 'Pba2', 'Pbam', 'Pbca', 'Pbcn', 'Pc', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('Amm2'), np.str_('Cmc2_1'), np.str_('Cmmm'), np.str_('I4_1'), np.str_('P-1'), np.str_('P-43m'), np.str_('P4/mnc'), np.str_('P4cc'), np.str_('P6_122'), np.str_('P6_322'), np.str_('Pa-3'), np.str_('Pbcm'), np.str_('Pca2_1'), np.str_('R-3c')]",1539,166,split successful
4,3,-1,"['Aea2', 'Ama2', 'Amm2', 'C2/c', 'C2/m', 'Cc', 'Cccm', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'F-43m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Imm2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43m', 'P-43n', 'P-4n2', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2_1/c', 'P2_12_12_1', 'P2_13', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4bm', 'P4cc', 'P4mm', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3mc', 'Pa-3', 'Pbam', 'Pbca', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('C2'), np.str_('C222_1'), np.str_('Fd-3m'), np.str_('Ima2'), np.str_('P2/c'), np.str_('P2_1'), np.str_('P2_1/m'), np.str_('P2_12_12'), np.str_('P4_2/mbc'), np.str_('P4_2/mcm'), np.str_('P6_3cm'), np.str_('Pba2'), np.str_('Pmmn'), np.str_('Pnna')]",1582,123,split successful
5,4,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cccm', 'Cm', 'Cmc2_1', 'Cmcm', 'Cmmm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43m', 'P-43n', 'P-4n2', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P31c', 'P3_1', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/ncm', 'P4_2/nmc', 'P4_32_12', 'P4_332', 'P4bm', 'P4cc', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'Pa-3', 'Pba2', 'Pbca', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pm', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R3', 'R3c', 'R3m']","[np.str_('Cmce'), np.str_('Imm2'), np.str_('P3'), np.str_('P321'), np.str_('P4_2/nbc'), np.str_('P4_2nm'), np.str_('P4mm'), np.str_('P6_3mc'), np.str_('Pbam'), np.str_('Pccn'), np.str_('Pm-3m'), np.str_('Pmc2_1'), np.str_('Pna2_1'), np.str_('R32')]",1603,102,split successful
6,5,-1,"['Amm2', 'C2', 'C222_1', 'Cc', 'Cccm', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibca', 'Ima2', 'Imm2', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43m', 'P-43n', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4bm', 'P4cc', 'P4mm', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbca', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3c', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('Aea2'), np.str_('Ama2'), np.str_('C2/c'), np.str_('C2/m'), np.str_('Fddd'), np.str_('I4_1cd'), np.str_('Ibam'), np.str_('Imma'), np.str_('P-4n2'), np.str_('P4_2/ncm'), np.str_('P4_332'), np.str_('P6_3/mmc'), np.str_('Pn-3m'), np.str_('R-3')]",1448,257,split successful
7,6,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cccm', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-4', 'I-42d', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mmm', 'I4_1', 'I4_1/amd', 'I4_1cd', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imm2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43m', 'P-43n', 'P-4n2', 'P-6', 'P-6c2', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4cc', 'P4mm', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmmn', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('I-42m'), np.str_('I4/mcm'), np.str_('I4_1/a'), np.str_('I4_1/acd'), np.str_('I4mm'), np.str_('P-62m'), np.str_('P1'), np.str_('P3c1'), np.str_('P3m1'), np.str_('P4bm'), np.str_('Pbca'), np.str_('Pmm2'), np.str_('Pmn2_1')]",1589,116,split successful
8,7,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cccm', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmmm', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imm2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-3m1', 'P-42_1c', 'P-42m', 'P-43m', 'P-43n', 'P-4n2', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_13', 'P3', 'P31c', 'P321', 'P3_112', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nmm', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4bm', 'P4cc', 'P4mm', 'P6/mmm', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbca', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnn2', 'Pnna', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R32']","[np.str_('F-43m'), np.str_('Fmm2'), np.str_('I4/mmm'), np.str_('P-42_1m'), np.str_('P2_12_12_1'), np.str_('P3_1'), np.str_('P4/nbm'), np.str_('P4/ncc'), np.str_('P4_122'), np.str_('P6_1'), np.str_('R3'), np.str_('R3c'), np.str_('R3m')]",1580,125,split successful
9,8,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cccm', 'Cm', 'Cmc2_1', 'Cmce', 'Cmcm', 'Cmmm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'I-4', 'I-42d', 'I-42m', 'I-43m', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3', 'Ibam', 'Ima2', 'Imm2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3m1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43m', 'P-43n', 'P-4n2', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P3', 'P31c', 'P321', 'P3_1', 'P3_112', 'P3_121', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/mnm', 'P4_2/n', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4bm', 'P4cc', 'P4mm', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/mcm', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbca', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pccn', 'Pm', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnn2', 'Pnna', 'R-3', 'R-3c', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('Fmmm'), np.str_('I23'), np.str_('Ia-3d'), np.str_('Ibca'), np.str_('P-3c1'), np.str_('P2_13'), np.str_('P3_2'), np.str_('P4/mmm'), np.str_('P4/nmm'), np.str_('P6_3/m'), np.str_('Pnma'), np.str_('Pnnm'), np.str_('R-3m')]",1438,267,split successful
10,9,-1,"['Aea2', 'Ama2', 'Amm2', 'C2', 'C2/c', 'C2/m', 'C222_1', 'Cc', 'Cccm', 'Cmc2_1', 'Cmce', 'Cmmm', 'F-43m', 'Fd-3m', 'Fdd2', 'Fddd', 'Fm-3m', 'Fmm2', 'Fmmm', 'I-42d', 'I-42m', 'I-43m', 'I23', 'I2_13', 'I4/m', 'I4/mcm', 'I4/mmm', 'I4_1', 'I4_1/a', 'I4_1/acd', 'I4_1/amd', 'I4_1cd', 'I4mm', 'Ia-3d', 'Ibam', 'Ibca', 'Ima2', 'Imm2', 'Imma', 'Immm', 'P-1', 'P-31c', 'P-3c1', 'P-42_1c', 'P-42_1m', 'P-42m', 'P-43m', 'P-43n', 'P-4n2', 'P-6', 'P-62m', 'P-6c2', 'P1', 'P2/c', 'P2_1', 'P2_1/c', 'P2_1/m', 'P2_12_12', 'P2_12_12_1', 'P2_13', 'P3', 'P321', 'P3_1', 'P3_121', 'P3_2', 'P3_221', 'P3c1', 'P3m1', 'P4/mbm', 'P4/mmm', 'P4/mnc', 'P4/nbm', 'P4/ncc', 'P4/nmm', 'P4_122', 'P4_12_12', 'P4_2/m', 'P4_2/mbc', 'P4_2/mcm', 'P4_2/nbc', 'P4_2/ncm', 'P4_2/nmc', 'P4_2nm', 'P4_32_12', 'P4_332', 'P4bm', 'P4cc', 'P4mm', 'P6/mmm', 'P6_1', 'P6_122', 'P6_3', 'P6_3/m', 'P6_3/mmc', 'P6_322', 'P6_3cm', 'P6_3mc', 'Pa-3', 'Pba2', 'Pbam', 'Pbca', 'Pbcm', 'Pbcn', 'Pc', 'Pca2_1', 'Pccn', 'Pm-3m', 'Pmc2_1', 'Pmm2', 'Pmmn', 'Pmn2_1', 'Pn-3m', 'Pna2_1', 'Pnma', 'Pnna', 'Pnnm', 'R-3', 'R-3c', 'R-3m', 'R3', 'R32', 'R3c', 'R3m']","[np.str_('Cm'), np.str_('Cmcm'), np.str_('I-4'), np.str_('Ia-3'), np.str_('P-3m1'), np.str_('P2'), np.str_('P31c'), np.str_('P3_112'), np.str_('P4_2/mnm'), np.str_('P4_2/n'), np.str_('P6_3/mcm'), np.str_('Pm'), np.str_('Pnn2')]",1587,118,split successful
