mpids,formula,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,Temperature_raw_value,DOI,compound_type
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[6.0],,10.1039/c3dt32536a,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[4.82],,10.1039/c4cp03660c,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[4.38],,10.1039/c8cp00240a,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[5.75],,10.1021/jacs.5b03986,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[3.5],,10.1021/jacs.5b03986,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[2.56],,10.1021/jacs.5b03986,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[3.3],,10.1021/jacs.5b03986,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[5.02],,10.1021/jacs.5b03986,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[3.2],,10.1021/jacs.5b03986,Double anions
mp-643,ThO2,True,False,4.4187,-4.36779017333333,[3.3],,10.1021/jacs.5b03986,Double anions
mp-17171,LaF3,False,True,4.9199,-4.365745196041666,[10.3],300,10.1016/j.optmat.2015.06.020,Halides
mp-17171,LaF3,False,True,4.9199,-4.365745196041666,[10.77],,10.1016/j.commatsci.2018.07.020,Halides
mp-17171,LaF3,False,True,4.9199,-4.365745196041666,[5.3],,10.1007/s12540-014-1012-2,Halides
mp-17171,LaF3,False,True,4.9199,-4.365745196041666,[10.3],,10.1007/s13204-014-0358-6,Halides
mp-17171,LaF3,False,True,4.9199,-4.365745196041666,[10.3],,10.1007/s13204-014-0391-5,Halides
mp-17171,LaF3,False,True,4.9199,-4.365745196041666,[6.6],,10.1021/jacs.5b03986,Halides
mp-3637,YOF,True,False,4.9203,-4.214884004166669,[7.2],,10.1016/j.optmat.2019.109331,Halides
mp-972965,GdF3,True,True,2.862199999999999,-4.158415573124998,[7.443],,10.1039/c3cp51816g,Halides
mp-1427,Lu2O3,True,False,4.021100000000001,-4.123783570916665,[6.0],8,10.1016/j.optmat.2020.109730,Double anions
mp-1427,Lu2O3,True,False,4.021100000000001,-4.123783570916665,[5.95],,10.1016/j.optmat.2020.109730,Double anions
