material_id,composition,bg,elements
mp-15790,LiHoS2,1.9863,"['Ho', 'Li', 'S']"
mp-1035887,KMg14WO16,1.660499999999999,"['K', 'Mg', 'O', 'W']"
mp-1404626,La2MgWO6,2.215399999999999,"['La', 'Mg', 'O', 'W']"
mp-752659,Li2FeP2O7,3.951799999999999,"['Fe', 'Li', 'O', 'P']"
mp-1177796,Li3Fe3(PO4)4,2.1425,"['Fe', 'Li', 'O', 'P']"
mp-754663,Na2Be2O3,4.267200000000001,"['Be', 'Na', 'O']"
mp-772507,Na3Li3Mn2P2(CO7)2,3.7267,"['C', 'Li', 'Mn', 'Na', 'O', 'P']"
mp-759053,LiFeSiO4,2.6185,"['Fe', 'Li', 'O', 'Si']"
mp-1093882,CaHgAu2,1.652899999999999,"['Au', 'Ca', 'Hg']"
mp-1215029,Ba2GdV3O11,3.143,"['Ba', 'Gd', 'O', 'V']"
mp-757889,LiSn(PO3)3,3.9067,"['Li', 'O', 'P', 'Sn']"
mp-2712667,Na2TiSi2GeSO12,2.6483,"['Ge', 'Na', 'O', 'S', 'Si', 'Ti']"
mp-560703,Te3As2S(OF6)2,2.0331,"['As', 'F', 'O', 'S', 'Te']"
mp-861182,Li4TiS4,2.4742,"['Li', 'S', 'Ti']"
mp-1198126,NaUP3O11,2.4628,"['Na', 'O', 'P', 'U']"
mp-1038540,Mg30NbCdO32,0.7984999999999991,"['Cd', 'Mg', 'Nb', 'O']"
mp-647218,Re2P2O11,0.5705,"['O', 'P', 'Re']"
mp-734251,AlO2,1.0972,"['Al', 'O']"
mp-1210923,Li2FeGeO4,2.1565,"['Fe', 'Ge', 'Li', 'O']"
mp-1198842,CsCuPS3,2.1498,"['Cs', 'Cu', 'P', 'S']"
mp-777777,PH18C6N3O,4.0728,"['C', 'H', 'N', 'O', 'P']"
mp-505490,Rb4SnSb6,1.062999999999999,"['Rb', 'Sb', 'Sn']"
mp-31454,TaSbRu,0.665,"['Ru', 'Sb', 'Ta']"
mp-759792,Ag2B8O13,2.858,"['Ag', 'B', 'O']"
mp-1210845,NaGaGeO4,3.121699999999999,"['Ga', 'Ge', 'Na', 'O']"
mp-579284,Mg(FeO2)2,1.6282,"['Fe', 'Mg', 'O']"
mp-1103791,Ho2MgSe4,1.3026,"['Ho', 'Mg', 'Se']"
