split_dir,split_name,method,val_mae_mean,val_mae_std,val_mre_mean,val_mre_std,val_r2_mean,val_r2_std,test_mae_mean,test_mae_std,test_mre_mean,test_mre_std,test_r2_mean,test_r2_std,val_mae_count,val_mre_count,val_r2_count,test_mae_count,test_mre_count,test_r2_count
category,Antimonides,alignn_prop,0.5424382090568542,,0.5026276707649231,,-0.8387914896011353,,0.5424382090568542,,0.5026276707649231,,-0.8387914896011353,,1,1,1,1,1,1
category,Antimonides,alignn_z,0.3934281766414642,,0.3525528907775879,,0.2331647872924804,,0.3934281766414642,,0.3525528907775879,,0.2331647872924804,,1,1,1,1,1,1
category,Antimonides,cartnet,0.7680661082267761,,0.7159790396690369,,-2.259273052215576,,0.7680660486221313,,0.7159790396690369,,-2.259272813796997,,1,1,1,1,1,1
category,Antimonides,cartnet_prop,0.3018452227115631,,0.2673418223857879,,0.205573558807373,,0.3018452227115631,,0.2673418223857879,,0.2055736780166626,,1,1,1,1,1,1
category,Antimonides,cgcnn,0.9391998648643494,,0.9883992671966552,,-8.422381401062012,,0.9391998648643494,,0.9883992671966552,,-8.422381401062012,,1,1,1,1,1,1
category,Antimonides,chgnet_prop,0.4617179334163666,,0.3952890038490295,,-0.8140778541564941,,0.4617178738117218,,0.3952889740467071,,-0.8140778541564941,,1,1,1,1,1,1
category,Antimonides,chgnet_z,1.331771969795227,,1.3432087898254397,,-7.852083206176758,,1.331771969795227,,1.343208909034729,,-7.852083206176758,,1,1,1,1,1,1
category,Antimonides,leftnet_prop,0.8716514706611633,,0.732919454574585,,-3.290764808654785,,0.8716514110565186,,0.7329193949699402,,-3.290764808654785,,1,1,1,1,1,1
category,Antimonides,leftnet_z,1.3269087076187134,,1.3373558521270752,,-7.026538848876953,,1.3269087076187134,,1.3373558521270752,,-7.0265398025512695,,1,1,1,1,1,1
category,Antimonides,linear_regression,0.8548483966562931,,0.80501525899297,,-2.8671132856345096,,0.8548483966562931,,0.80501525899297,,-2.8671132856345096,,1,1,1,1,1,1
category,Antimonides,random_forest,0.7820846540997746,,0.792338840243525,,-1.9978304116558971,,0.7820846540997746,,0.792338840243525,,-1.9978304116558971,,1,1,1,1,1,1
category,Antimonides,svm,0.6663376401367446,,0.632119514881007,,-2.078640685407501,,0.6663376401367446,,0.632119514881007,,-2.078640685407501,,1,1,1,1,1,1
category,Arsenides,alignn_prop,0.3784097135066986,,0.3227554559707641,,0.0292875170707702,,0.3784097135066986,,0.3227554559707641,,0.0292875170707702,,1,1,1,1,1,1
category,Arsenides,alignn_z,0.558272123336792,,0.4877291321754455,,-2.8846640586853027,,0.558272123336792,,0.4877291321754455,,-2.8846640586853027,,1,1,1,1,1,1
category,Arsenides,cartnet,0.5171499252319336,,0.400672048330307,,-1.6166751384735107,,0.5171499252319336,,0.4006720185279846,,-1.6166751384735107,,1,1,1,1,1,1
category,Arsenides,cartnet_prop,0.539653480052948,,0.4144636988639831,,-1.4828739166259766,,0.5396535396575928,,0.4144636988639831,,-1.4828739166259766,,1,1,1,1,1,1
category,Arsenides,cgcnn,0.6014128923416138,,0.5018525123596191,,-1.5589656829833984,,0.6014128923416138,,0.5018525123596191,,-1.5589656829833984,,1,1,1,1,1,1
category,Arsenides,chgnet_prop,0.4112901389598846,,0.3249053061008453,,-0.958172082901001,,0.4112901389598846,,0.3249053061008453,,-0.958172082901001,,1,1,1,1,1,1
