model,split,fold,ckpt,test_loss,test_mae,test_mre,test_r2
alignn,chemsys,mf.chemsys.k0_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k0_outer-best-mre-epoch=25-val_mre=0.2582.ckpt,0.4346338212490082,0.4992849826812744,0.2581521570682525,0.5645023584365845
alignn,chemsys,mf.chemsys.k1_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k1_outer-best-mre-epoch=07-val_mre=0.2941.ckpt,0.564219057559967,0.5696493983268738,0.2941257357597351,0.4170888662338257
alignn,chemsys,mf.chemsys.k2_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k2_outer-best-mre-epoch=22-val_mre=0.3076.ckpt,0.6497303247451782,0.5889118313789368,0.3076400756835937,0.3199371099472046
alignn,chemsys,mf.chemsys.k3_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k3_outer-best-mre-epoch=47-val_mre=0.2502.ckpt,0.3981648683547973,0.4831150472164154,0.2501602470874786,0.5658208727836609
alignn,chemsys,mf.chemsys.k4_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k4_outer-best-mre-epoch=28-val_mre=0.2349.ckpt,0.6365697979927063,0.5753865242004395,0.2349115163087844,0.3054230809211731
alignn,chemsys,mf.chemsys.k5_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k5_outer-best-mre-epoch=43-val_mre=0.2788.ckpt,0.4716355800628662,0.5343978404998779,0.2788130640983581,0.4356001913547516
alignn,chemsys,mf.chemsys.k6_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k6_outer-best-mre-epoch=49-val_mre=0.2695.ckpt,0.5635557174682617,0.5230957865715027,0.269456148147583,0.396230399608612
alignn,chemsys,mf.chemsys.k7_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k7_outer-best-mre-epoch=08-val_mre=0.3515.ckpt,0.8290300965309143,0.6628420948982239,0.3515098094940185,0.2243116647005081
alignn,chemsys,mf.chemsys.k8_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k8_outer-best-mre-epoch=07-val_mre=0.3231.ckpt,0.6252199411392212,0.5728297233581543,0.3230600357055664,0.3436384797096252
alignn,chemsys,mf.chemsys.k9_outer,saved_models/split_json/alignn/chemsys/mf.chemsys.k9_outer-best-mre-epoch=04-val_mre=0.3043.ckpt,0.6457957029342651,0.5895583033561707,0.3043172061443329,0.4490975141525268
alignn,composition,mf.composition.k0_outer,saved_models/split_json/alignn/composition/mf.composition.k0_outer-best-mre-epoch=18-val_mre=0.2924.ckpt,0.6003933548927307,0.558545708656311,0.2923964560031891,0.40533247590065
alignn,composition,mf.composition.k1_outer,saved_models/split_json/alignn/composition/mf.composition.k1_outer-best-mre-epoch=27-val_mre=0.2678.ckpt,0.5840250849723816,0.5187545418739319,0.2678446471691131,0.3646211326122284
alignn,composition,mf.composition.k2_outer,saved_models/split_json/alignn/composition/mf.composition.k2_outer-best-mre-epoch=07-val_mre=0.2160.ckpt,0.4377251863479614,0.4983805418014526,0.2160392850637436,0.5256907343864441
alignn,composition,mf.composition.k3_outer,saved_models/split_json/alignn/composition/mf.composition.k3_outer-best-mre-epoch=16-val_mre=0.2356.ckpt,0.4039220809936523,0.4775443375110626,0.2356382459402084,0.5854406356811523
alignn,composition,mf.composition.k4_outer,saved_models/split_json/alignn/composition/mf.composition.k4_outer-best-mre-epoch=09-val_mre=0.2916.ckpt,0.5473776459693909,0.5278840065002441,0.2915819585323334,0.4402258396148681
alignn,composition,mf.composition.k5_outer,saved_models/split_json/alignn/composition/mf.composition.k5_outer-best-mre-epoch=10-val_mre=0.2665.ckpt,0.4833726286888122,0.547065019607544,0.2664511501789093,0.5073776245117188
alignn,composition,mf.composition.k6_outer,saved_models/split_json/alignn/composition/mf.composition.k6_outer-best-mre-epoch=32-val_mre=0.3452.ckpt,0.621819019317627,0.5995086431503296,0.3452362418174743,0.4553074240684509
alignn,composition,mf.composition.k7_outer,saved_models/split_json/alignn/composition/mf.composition.k7_outer-best-mre-epoch=15-val_mre=0.3437.ckpt,0.8452678918838501,0.6610908508300781,0.3436920940876007,0.2180489301681518
alignn,composition,mf.composition.k8_outer,saved_models/split_json/alignn/composition/mf.composition.k8_outer-best-mre-epoch=18-val_mre=0.2474.ckpt,0.4603588283061981,0.5193449854850769,0.2473761439323425,0.552608847618103
alignn,composition,mf.composition.k9_outer,saved_models/split_json/alignn/composition/mf.composition.k9_outer-best-mre-epoch=26-val_mre=0.2414.ckpt,0.4747457504272461,0.5374036431312561,0.2414043247699737,0.5871449112892151
alignn,periodictablegroups,mf.periodictablegroups.k0_outer,saved_models/split_json/alignn/periodictablegroups/mf.periodictablegroups.k0_outer-best-mre-epoch=04-val_mre=0.3611.ckpt,0.6406362652778625,0.6087947487831116,0.3611347377300262,0.3442765176296234
alignn,periodictablegroups,mf.periodictablegroups.k1_outer,saved_models/split_json/alignn/periodictablegroups/mf.periodictablegroups.k1_outer-best-mre-epoch=12-val_mre=0.2834.ckpt,0.758891761302948,0.6671718955039978,0.2834018468856811,0.1723467409610748
alignn,periodictablegroups,mf.periodictablegroups.k2_outer,saved_models/split_json/alignn/periodictablegroups/mf.periodictablegroups.k2_outer-best-mre-epoch=23-val_mre=0.2698.ckpt,0.5828949213027954,0.5798429250717163,0.2697837650775909,0.3798956871032715
alignn,periodictablegroups,mf.periodictablegroups.k3_outer,saved_models/split_json/alignn/periodictablegroups/mf.periodictablegroups.k3_outer-best-mre-epoch=18-val_mre=0.2556.ckpt,0.4401297271251678,0.5023406147956848,0.2556383907794952,0.2536440789699554
