mpid,formula,bg_comp,bg_exp
mp-1000,BaTe,,3.4
mp-10009,GaTe,0.7852999999999991,
mp-1001012,Sc2ZnS4,0.5768,
mp-1001015,Y2ZnS4,0.671899999999999,
mp-1001017,Zn(InSe2)2,0.698599999999999,
mp-1001019,Mg(ScSe2)2,1.0918,
mp-1001023,BeC2,1.669699999999999,
mp-1001069,Li48P16S61,2.2955,
mp-1001079,Li(CN)2,1.9102,
mp-1001112,Na2H3CO6,3.8069,
mp-1001594,C4O3,2.4613,
mp-1001604,LuTlS2,1.3485,
mp-1001611,LuTlSe2,1.212899999999999,
mp-1001780,LuCuS2,1.461999999999999,
mp-1001786,LiScS2,1.4856999999999991,
mp-1001831,LiB,1.726499999999999,
mp-1002063,SnS2,1.8354,
mp-1002069,NaLiICl,4.582899999999999,
mp-1002080,CsLiICl,3.6853,
mp-1002081,KNaICl,4.0097,
mp-1002083,CsKICl,4.0996,
mp-1002164,GeC,,2.09
mp-1002568,MgMn2O4,0.6492999999999991,
mp-1002569,MgMnO2,1.243599999999999,
mp-1002570,KMnO2,1.9757999999999991,
mp-1002571,NaMn2O4,0.5661,
mp-1002572,LiMnO2,0.9368,
mp-1002573,MnHO2,1.9636999999999991,
mp-1002574,KMnO2,1.4647,
mp-1003311,CaMn2O4,1.940099999999999,
mp-1003322,CaMnO2,1.786099999999999,
mp-1003402,CaMnO2,2.1657,
mp-1003437,KMn2O4,0.9303,
mp-1003483,CaMn4O8,0.5121,
mp-1003548,CaMn2O4,1.6661,
mp-1003641,MgMn2O4,1.1881,
mp-1003735,MgMn2O4,1.1996,
mp-1003767,NaMn2O4,0.6130999999999991,
mp-1003770,MgMn2O4,1.073,
mp-1003854,KMnO2,1.332199999999999,
mp-1003856,MgMnO2,2.410599999999999,
mp-1003920,Mn2HO4,1.076199999999999,
mp-1003923,CaMn4O8,0.5904,
mp-1004037,CaMnO2,1.819799999999999,
mp-1004038,CaMn2O4,1.569,
mp-1004373,LiMnO2,1.0854,
mp-1004376,NaMn2O4,0.6132000000000001,
mp-10044,BAs,,1.39
mp-1004530,CsBPb(IF2)2,2.7223,
mp-1004532,CCl4,,3.78
mp-1006058,UCd2O5,2.0853,
mp-1006118,P2S7,1.8903,
mp-10064,SiO2,1.739599999999999,
mp-1006588,Zn3In2O6,1.285799999999999,
mp-1006591,Mg(InSe2)2,0.798099999999999,
mp-1006878,BaO2,2.1125,
mp-1006885,KNdS2,2.2595,
mp-1006888,KYS2,2.3221,
mp-1006891,KSmSe2,1.8906,
mp-10070,BaAg(PO3)3,3.243999999999999,
mp-10074,GeSe2,1.5188,
