mpids,formula,bg_mp,bg_exp,num_elements,source,category,num_categories,cluster_auto,is_ood
mp-23317,AsBr3,3.1271,2.6,2,BandgapDatabase1,Arsenides,2,2,True
mp-680422,CBr4,2.9265,3.7,2,BandgapDatabase1,Halides,1,2,True
mp-27962,CI4,1.1181,2.26,2,BandgapDatabase1,Halides,1,2,True
mp-29746,Cd4P2Cl3,1.3826,2.21,3,BandgapDatabase1,Halides,2,2,True
mp-29044,Cd4Sb2I3,1.130599999999999,1.81,3,BandgapDatabase1,Antimonides,2,2,True
mp-568722,CdBr2,2.8551,4.47,2,BandgapDatabase1,Halides,1,2,True
mp-570437,CdI2,2.3382,3.2,2,BandgapDatabase1,Halides,1,2,True
mp-1105419,Cs2Hg3S4,1.732499999999999,2.8,3,BandgapDatabase1,Chalcogenides,1,2,True
mp-17905,Cs2Hg6S7,0.6230999999999991,1.63,3,BandgapDatabase1,Chalcogenides,1,2,True
mp-669458,Cs3Bi2I9,2.3796,2.0,3,BandgapDatabase1,Halides,1,2,True
mp-27922,GeI2,2.0217,1.5,2,BandgapDatabase1,Halides,1,2,True
mp-23292,HgBr2,2.5527,3.59,2,BandgapDatabase1,Halides,1,2,True
mp-1224070,HgBrCl,2.593499999999999,3.4,3,BandgapDatabase1,Halides,1,2,True
mp-22855,HgCl2,2.8686,4.45,2,BandgapDatabase1,Halides,1,2,True
mp-9252,HgS,1.6863,0.7,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-1120792,K3Bi2I9,2.5425,2.1,3,BandgapDatabase1,Halides,1,2,True
mp-1411545,NiS2,0.527899999999999,0.5449999999999999,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-762,PtS2,1.5467,0.95,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-441,Rb2Te,1.8766,4.5,2,BandgapDatabase1,Chalcogenides,1,2,True
mp-570324,Rb2TeBr6,2.101,2.14,3,BandgapDatabase1,Halides,2,2,True
mp-1195363,Rb3Bi2Br9,2.818,2.62,3,BandgapDatabase1,Halides,1,2,True
mp-1194576,Rb3Sb2Br9,2.149,2.48,3,BandgapDatabase1,Antimonides,2,2,True
mp-1209693,Rb3Sb2I9,1.9237,2.1,3,BandgapDatabase1,Antimonides,2,2,True
mp-28051,SbTeI,0.8429000000000001,1.53,3,BandgapDatabase1,Antimonides,3,2,True
mp-1219046,Sn2SbS2I3,1.065799999999999,1.5,4,BandgapDatabase1,Antimonides,3,2,True
mp-29179,SnCl2,3.1002,2.9,2,BandgapDatabase1,Halides,1,2,True
mp-27194,SnI2,1.7061000000000002,2.4,2,BandgapDatabase1,Halides,1,2,True
mp-23182,SnI4,2.0581,2.38,2,BandgapDatabase1,Halides,1,2,True
mp-569766,TeI,0.7871,1.1,2,BandgapDatabase1,Halides,2,2,True
mp-1188364,Tl2Hg3S4,1.579699999999999,2.05,3,BandgapDatabase1,Chalcogenides,1,2,True
mp-1105692,Tl2Hg3Se4,1.035699999999999,1.57,3,BandgapDatabase1,Chalcogenides,1,2,True
mp-1190100,Tl2Hg3Te4,0.9897,0.9,3,BandgapDatabase1,Chalcogenides,1,2,True
mp-1204377,TlHg6S4Br5,2.1407,3.03,4,BandgapDatabase1,Halides,2,2,True
mp-1202157,TlHg6Se4Br5,1.988999999999999,2.8,4,BandgapDatabase1,Halides,2,2,True
mp-1215990,Zn6S5Cl2,1.5051,2.71,3,BandgapDatabase1,Halides,2,2,True
mp-27161,ZnI2,2.9118,3.28,2,BandgapDatabase1,Halides,1,2,True
mp-23324,BiSBr,2.0352,1.9500000000000002,3,DS2,Halides,2,2,True
mp-23318,BiSCl,1.9702000000000002,1.8900000000000001,3,DS2,Halides,2,2,True
mp-23514,BiSI,1.8826,1.56,3,DS2,Halides,2,2,True
mp-22859,Hg2I2,1.8859,3.0,2,DS2,Halides,1,2,True
mp-28070,Rb2TeI6,1.749,1.43,3,DS2,Halides,2,2,True
mp-23218,AsI3,2.2375,2.415,2,BandgapDatabase1,Arsenides,2,2,True
mp-22849,BiI3,2.5349,1.8,2,BandgapDatabase1,Halides,1,2,True
mp-641923,Cs2SnBr6,1.438899999999999,2.9,3,BandgapDatabase1,Halides,1,2,True
mp-608555,Cs2SnCl6,2.59,2.14,3,BandgapDatabase1,Halides,1,2,True
mp-27394,CsSnCl3,2.9154,1.4125,3,BandgapDatabase1,Halides,1,2,True
mp-23192,HgI2,1.3324,2.15,2,BandgapDatabase1,Halides,1,2,True
mp-1224,HgO,1.1867,2.2,2,BandgapDatabase1,Oxides,1,2,True
mp-22963,K2TeBr6,2.336,2.17,3,BandgapDatabase1,Halides,2,2,True
mp-23291,PbCl2,3.7939,3.91,2,BandgapDatabase1,Halides,1,2,True
mp-23041,SbSI,1.6276000000000002,1.86,3,BandgapDatabase1,Antimonides,3,2,True
mp-22996,SbSeI,1.3811,1.662,3,BandgapDatabase1,Antimonides,3,2,True
mp-29862,SnBr2,2.5387,3.45,2,BandgapDatabase1,Halides,1,2,True
mp-571102,TlI,2.208599999999999,2.815,2,BandgapDatabase1,Halides,1,2,True
mp-23020,BiSeI,1.5764,1.425,3,BandgapDatabase1,Halides,2,2,True
mp-1078250,Cs2AgBiBr6,1.3547,1.95,4,BandgapDatabase1,Halides,1,2,True
mp-1078258,Cs2AgBiCl6,1.8663,2.44,4,BandgapDatabase1,Halides,1,2,True
mp-540574,Cs2Hg3I8,1.731399999999999,2.56,3,BandgapDatabase1,Halides,1,2,True
mp-23405,Cs2TeBr6,2.1121,2.12,3,BandgapDatabase1,Halides,2,2,True
mp-540957,Cs2TeI6,1.3877000000000002,1.47,3,BandgapDatabase1,Halides,2,2,True
mp-27544,Cs3Bi2Br9,2.599599999999999,2.67,3,BandgapDatabase1,Halides,1,2,True
mp-579560,Cs3Sb2Br9,1.9837,2.36,3,BandgapDatabase1,Antimonides,2,2,True
mp-23029,Cs3Sb2I9,1.8829999999999991,2.0,3,BandgapDatabase1,Antimonides,2,2,True
mp-28377,CsGeI3,0.9905,1.6,3,BandgapDatabase1,Halides,1,2,True
mp-27688,K2TeI6,1.7449,1.38,3,BandgapDatabase1,Halides,2,2,True
mp-31076,Tl2TeBr6,2.1632,2.06,3,BandgapDatabase1,Halides,2,2,True
mp-31077,Tl2TeI6,1.684399999999999,1.5,3,BandgapDatabase1,Halides,2,2,True
mp-570339,Tl4CdI6,2.1721,2.815,3,BandgapDatabase1,Halides,1,2,True
mp-23485,Ag2HgI4,1.2219,2.47,3,Matbench_expt,Halides,1,2,True
mp-505373,AsSeI,1.2345,1.76,3,Matbench_expt,Arsenides,3,2,True
mp-2913080,BiBr3,2.8833,2.66,2,Matbench_expt,Halides,1,2,True
mp-28914,Cd4P2Br3,1.3986,2.19,3,Matbench_expt,Halides,2,2,True
mp-568545,Cd4P2I3,1.377799999999999,2.17,3,Matbench_expt,Halides,2,2,True
mp-567910,CdHg6(As2Br3)2,1.3456,1.8900000000000001,4,Matbench_expt,Arsenides,2,2,True
mp-1198529,HfHg4(AsCl3)2,1.3812,2.47,4,Matbench_expt,Arsenides,2,2,True
mp-1202310,HfHg4(PCl3)2,2.0914,3.26,4,Matbench_expt,Halides,1,2,True
mp-1104411,Hg3Bi2(SCl4)2,2.7814,3.26,4,Matbench_expt,Halides,2,2,True
mp-1192395,Hg3Bi2(TeCl4)2,3.0056,2.8,4,Matbench_expt,Halides,2,2,True
mp-23177,HgBr,2.2557,2.6,2,Matbench_expt,Halides,1,2,True
mp-1196151,InHg7S6Cl5,1.4549,2.54,4,Matbench_expt,Halides,2,2,True
mp-1103709,Rb2Cd(IBr)2,3.171,3.35,4,Matbench_expt,Halides,1,2,True
mp-578882,SbPb2S2I3,1.9425,2.0,4,Matbench_expt,Antimonides,3,2,True
mp-570884,TeI4,1.8562999999999992,1.1,2,Matbench_expt,Halides,2,2,True
mp-1200713,ZrHg4(PCl3)2,2.1134,3.22,4,Matbench_expt,Halides,1,2,True
mp-35909,AgBiI4,1.0457,1.77,3,BandgapDatabase1,Halides,1,2,True
mp-556094,AgBiSCl2,1.0752,1.0,4,BandgapDatabase1,Halides,2,2,True
mp-580941,AgI,1.3759,2.775,2,BandgapDatabase1,Halides,1,2,True
mp-22965,BiTeI,1.2325,0.5449999999999999,3,BandgapDatabase1,Halides,2,2,True
mp-1066781,BrCl,1.783,2.94,2,BandgapDatabase1,Halides,1,2,True
mp-1214217,CCl2,3.9193,1.615,2,BandgapDatabase1,Halides,1,2,True
mp-1004532,CCl4,4.5103,3.78,2,BandgapDatabase1,Halides,1,2,True
mp-1120739,CaCl2,4.8803,3.2,2,BandgapDatabase1,Halides,1,2,True
mp-1203526,Cd4As2Br3,0.9704,1.825,3,BandgapDatabase1,Arsenides,2,2,True
